Algorithm Name,Data Set,Hyper Parameters,0/1 Loss (Accuracy)
CNN,abalone_data.csv,K=22,0.266227
CNN,abalone_data.csv,K=15,0.262864
CNN,abalone_data.csv,K=18,0.261692
CNN,abalone_data.csv,K=21,0.261669
CNN,abalone_data.csv,K=17,0.259757
ENN,abalone_data.csv,validationSetFraction=0.059321|K=13,0.263823
ENN,abalone_data.csv,validationSetFraction=0.087138|K=22,0.26215
ENN,abalone_data.csv,validationSetFraction=0.191671|K=7,0.260951
ENN,abalone_data.csv,validationSetFraction=0.260488|K=14,0.260709
ENN,abalone_data.csv,validationSetFraction=0.237849|K=8,0.259536
K-means,abalone_data.csv,K=6,0.219061
K-means,abalone_data.csv,K=4,0.217614
K-means,abalone_data.csv,K=11,0.203506
K-means,abalone_data.csv,K=21,0.19918
K-means,abalone_data.csv,K=3,0.1945
KNN,abalone_data.csv,K=19,0.271725
KNN,abalone_data.csv,K=22,0.270538
KNN,abalone_data.csv,K=21,0.26694
KNN,abalone_data.csv,K=24,0.265015
KNN,abalone_data.csv,K=20,0.264305
PAM,abalone_data.csv,K=8,0.233185
PAM,abalone_data.csv,K=18,0.232233
PAM,abalone_data.csv,K=17,0.231034
PAM,abalone_data.csv,K=10,0.230555
PAM,abalone_data.csv,K=20,0.229841
PAM,abalone_data.csv,K=19,0.228637
