DataSet,Algorithm,Fold#,Actual,Guess,Squared Error,Timestamp,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,6,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,11,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,18,10,64,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,6,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,11,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,7,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,8,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,9,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,5,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,11,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,14,10,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,12,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,7,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,11,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,12,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,11,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,11,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,7,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,18,12,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,10,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,7,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,8,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,10,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,10,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,9,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,8,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,8,25,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,10,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,12,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,7,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,5,5,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,9,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,11,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,10,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,7,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,8,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,6,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,7,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,19,10,81,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,11,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,11,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,11,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,6,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,17,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,8,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,16,10,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,12,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,11,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,10,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,13,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,11,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,18,12,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,10,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,11,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,8,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,6,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,9,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,11,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,9,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,6,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,11,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,17,10,49,1570645266679,,,,,,
abalone_data.csv,KNN,0,16,10,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,17,9,64,1570645266679,,,,,,
abalone_data.csv,KNN,0,18,9,81,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,14,9,25,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,17,13,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,16,10,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,11,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,8,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,9,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,7,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,11,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,18,10,64,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,6,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,11,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,10,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,9,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,9,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,16,11,25,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,8,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,11,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,6,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,8,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,11,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,10,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,10,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,20,144,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,9,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,13,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,11,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,9,16,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,8,25,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,14,11,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,9,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,10,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,14,11,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,11,10,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,12,9,9,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,6,7,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,7,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,8,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,9,36,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,9,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,11,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,8,4,1570645266679,,,,,,
abalone_data.csv,KNN,0,19,10,81,1570645266679,,,,,,
abalone_data.csv,KNN,0,15,10,25,1570645266679,,,,,,
abalone_data.csv,KNN,0,9,8,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,9,1,1570645266679,,,,,,
abalone_data.csv,KNN,0,10,10,0,1570645266679,,,,,,
abalone_data.csv,KNN,0,13,12,1,1570645266679,,,,,,
